city,district,keyword,地段位置或門牌,社區簡稱,總價(萬元),交易日期,單價 (萬元/坪),總面積 (坪),主建物 佔比(%),型態,屋齡,樓別/樓高,主要用途,交易標的,建物格局,車位總價 (萬元),管理組織,電梯,交易/歷次轉移,功能,備註,主建物坪數,陽台坪數,土地移轉面積,車位類別,車位價格,車位面積,所在樓層
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號七樓之１,東都綠學,"1,345",111/10/01,33.2,45.36,65.01,,,七層/十四層,住家用,土1 建1車1,3房2廳2衛,163,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.14,1.48,6.51坪,坡道平面,"1,630,000元",9.76坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十三樓之７,東都綠學,"1,005",111/09/25,33.8,34.77,63.95,,,十三層/十四層,住家用,土1 建1車1,2房2廳1衛,148,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期:113/09/20，讓渡金額:10050000元。預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,480,000元",9.41坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號八樓之３,東都綠學,967,111/09/24,32.6,35.04,65.24,,,八層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.49,0.96,4.66坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十三樓之２,東都綠學,996,111/09/23,33.71,35.07,64.16,,,十三層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號三樓之２,東都綠學,956,111/09/23,32.19,35.02,64.28,,,三層/十四層,住家用,土1 建1車1,2房2廳1衛,143,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.24,1.2,4.63坪,坡道平面,"1,430,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十樓之６,東都綠學,"1,367",111/09/22,33.71,46.40,64.71,,,十層/十四層,住家用,土1 建1車1,3房2廳2衛,132,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.71,1.59,6.69坪,坡道平面,"1,320,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號五樓之６,東都綠學,"1,370",111/09/22,33.22,46.40,64.71,,,五層/十四層,住家用,土1 建1車1,3房2廳2衛,153,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.71,1.59,6.69坪,坡道平面,"1,530,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號三樓之５,東都綠學,"1,266",111/09/21,31.33,48.41,64.66,,,三層/十四層,住家用,土1 建1車1,3房2廳2衛,125,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,讓渡日期:112/04/12，讓渡金額:12.710.000元。預售屋、或土地及建物分件登記案件;,23.55,1.59,6.63坪,坡道平面,"1,250,000元",11.99坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號一樓之１,東都綠學,"1,376",111/09/21,33.57,46.61,64.90,,,一層/十四層,住家用,土1 建1車1,3房2廳2衛,153,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,23.64,1.53,6.66坪,坡道平面,"1,530,000元",10.18坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號十三樓之６,東都綠學,"1,528",111/09/21,33.62,56.17,64.71,,,十三層/十四層,住家用,土1 建1車2,3房2廳2衛,296,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,車位未拆分價格預售屋、或土地及建物分件登記案件;,23.71,1.59,6.69坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下三樓；地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號三樓之１,東都綠學,"1,266",111/09/20,31.34,46.59,64.67,,,三層/十四層,住家用,土1 建1車1,3房2廳2衛,125,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,"讓渡日期:112/03/29，讓渡金額:12,710,000元。預售屋、或土地及建物分件登記案件;",23.55,1.59,6.63坪,坡道平面,"1,250,000元",10.18坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１２號一樓之２,東都綠學,"1,044",111/09/20,35.96,35.54,63.93,,,一層/十四層,住家用,土1 建1車1,2房2廳1衛,132,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.21,1.26,4.66坪,坡道平面,"1,320,000元",10.18坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號一樓之３,東都綠學,"1,415",111/09/19,33.89,47.95,65.19,,,一層/十四層,住家用,土1 建1車1,3房2廳2衛,135,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,24.62,1.5,6.91坪,坡道平面,"1,350,000元",10.18坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段６號三樓之２,東都綠學,924,111/09/18,31.61,35.04,65.24,,,三層/十四層,住家用,土1 建1車1,2房2廳1衛,125,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,16.49,0.96,4.66坪,坡道平面,"1,250,000元",9.76坪,地下三樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號十樓之７,東都綠學,"1,382",111/07/01,32.53,47.54,65.16,,,十層/十四層,住家用,土1 建1車1,3房2廳2衛,153,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,24.62,1.5,6.91坪,坡道平面,"1,530,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１０號十一樓之７,東都綠學,"1,371",111/06/30,32.24,47.54,65.16,,,十一層/十四層,住家用,土1 建1車1,3房2廳2衛,153,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,24.62,1.5,6.91坪,坡道平面,"1,530,000元",9.76坪,地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號六樓之５,東都綠學,"1,872",111/01/17,34.55,64.71,65.95,,,六層/十四層,住家用,土1 建1車2,4房2廳2衛,311,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,買方為協力廠商。 車位價格無法拆分。預售屋、或土地及建物分件登記案件;,29.8,1.43,8.27坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下二樓；地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號九樓之３,東都綠學,"1,715",111/01/06,31.55,64.49,65.88,,,九層/十四層,住家用,土1 建1車2,4房2廳2衛,296,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,"讓渡日期:113/9/25，讓渡金額:19,540,000元。 車位價格無法拆分預售屋、或土地及建物分件登記案件;",29.63,1.43,8.20坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下二樓；地下二樓
台南市,仁德區,東都綠學,仁德區崇聖路一段１６號十四樓之３,東都綠學,"1,565",111/01/05,31.18,54.73,65.88,,,十四層/十四層,住家用,土1 建1車1,4房2廳2衛,163,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,預售屋、或土地及建物分件登記案件;,29.63,1.43,8.20坪,坡道平面,"1,630,000元",9.76坪,地下一樓
台南市,仁德區,東都綠學,仁德區崇聖路一段２號十樓之１,東都綠學,"1,718",111/01/01,31.17,64.50,65.87,,,十層/十四層,住家用,土1 建1車2,4房2廳2衛,316,有,有,歷次 明細 加入比較 同社區案例,Line 建坪單價計算,"讓渡日期:111/05/31，讓渡金額:19,380,000元。 車位價格無法拆分預售屋、或土地及建物分件登記案件;",29.63,1.43,8.20坪,坡道平面；坡道平面,,9.76坪；9.76坪,地下二樓；地下二樓
